Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
b'Mum Indians',b'Super Kings',b'Mum Indians',b'41 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829823.html'
b'Mum Indians',b'KKR',b'KKR',b'41 runs',b'Abu Dhabi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729279.html'
b'Daredevils',b'RCB',b'RCB',b'8 wickets',b'Sharjah',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729281.html'
b'Super Kings',b'Kings XI',b'Kings XI',b'6 wickets',b'Abu Dhabi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729283.html'
b'Sunrisers',b'Royals',b'Royals',b'4 wickets',b'Abu Dhabi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729285.html'
b'RCB',b'Mum Indians',b'RCB',b'7 wickets',b'Dubai (DSC)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729287.html'
b'KKR',b'Daredevils',b'Daredevils',b'4 wickets',b'Dubai (DSC)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729289.html'
b'Royals',b'Kings XI',b'Kings XI',b'7 wickets',b'Sharjah',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729291.html'
b'Super Kings',b'Daredevils',b'Super Kings',b'93 runs',b'Abu Dhabi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729293.html'
b'Kings XI',b'Sunrisers',b'Kings XI',b'72 runs',b'Sharjah',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729295.html'
b'Royals',b'Super Kings',b'Super Kings',b'7 runs',b'Dubai (DSC)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729297.html'
b'RCB',b'KKR',b'KKR',b'2 runs',b'Sharjah',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729299.html'
